App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,26,25,43.792000,5,6.850566,19.230769,1.040000
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,27,26,49.492000,1,6.304049,3.846154,1.038462
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,27,26,45.762000,2,6.817884,7.692308,1.038462
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,26,25,39.468000,6,7.601095,23.076923,1.040000
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,26,26,39.768000,2,7.845504,7.692308,1.000000
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,26,26,37.691000,2,8.277838,7.692308,1.000000
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,26,26,35.771000,4,8.722149,15.384615,1.000000
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,28,25,36.817000,8,8.148410,30.188679,1.120000
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,27,26,39.281000,5,7.942771,19.230769,1.038462
GraffitiExperiment,P08,GRAFFITI,C02,S00,B01,29,26,41.336000,3,7.547900,11.538462,1.115385
