App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,27.352000,8,11.406844,30.769231,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,23.799000,12,13.109795,46.153846,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,22.118000,10,14.106158,38.461538,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,25.260000,9,12.351544,34.615385,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,23.851000,10,13.081213,38.461538,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,20.654000,10,15.106033,38.461538,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,20.334000,10,15.343759,38.461538,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,22.667000,12,13.764503,46.153846,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,19.747000,8,15.799868,30.769231,1.000000
GraffitiExperiment,P00,GRAFFITI,C01,S00,B01,26,26,21.013000,8,14.847951,30.769231,1.000000
