App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,30,27,59.629000,27,5.433598,NaN,1.111111
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,29,27,45.765000,11,7.079646,40.243902,1.074074
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,28,26,39.167000,10,7.965890,38.461538,1.076923
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,29,27,52.199000,13,6.207015,46.846847,1.074074
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,30,28,36.447000,9,9.218866,32.142857,1.071429
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,28,26,43.275000,7,7.209705,25.925926,1.076923
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,29,26,31.892000,10,9.783018,38.461538,1.115385
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,28,26,31.603000,9,9.872480,34.615385,1.076923
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,28,26,38.668000,7,8.068687,26.250000,1.076923
GraffitiExperiment,P03,GRAFFITI,C01,S00,B01,28,26,28.666000,7,10.883974,26.415094,1.076923
