App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,53,25,108.865000,25,2.755707,NaN,2.120000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,28,27,38.685000,8,8.375339,29.629630,1.037037
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,26,26,29.437000,10,10.598906,38.461538,1.000000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,27,28,37.564000,12,8.944734,42.857143,0.964286
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,26,25,30.702000,6,9.771350,23.076923,1.040000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,26,26,30.104000,9,10.364071,34.615385,1.000000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,28,28,34.529000,13,9.730951,46.428571,1.000000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,26,26,30.800000,10,10.129870,38.461538,1.000000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,26,26,36.097000,3,8.643378,11.538462,1.000000
GraffitiExperiment,P09,GRAFFITI,C02,S00,B01,26,26,34.927000,10,8.932917,38.461538,1.000000
