App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,58,26,117.757000,26,2.649524,NaN,2.230769
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,46,26,97.340000,0,3.205260,0.000000,1.769231
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,32,26,74.397000,0,4.193717,0.000000,1.230769
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,38,26,74.847000,0,4.168504,0.000000,1.461538
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,29,26,65.960000,0,4.730139,0.000000,1.115385
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,39,26,76.718000,0,4.066842,0.000000,1.500000
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,34,25,65.894000,1,4.552767,3.846154,1.360000
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,35,26,70.159000,0,4.447042,0.000000,1.346154
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,34,26,62.513000,0,4.990962,0.000000,1.307692
GraffitiExperiment,P07,GRAFFITI,C02,S00,B01,28,26,56.915000,0,5.481859,0.000000,1.076923
