App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,32,25,157.612000,25,1.903408,NaN,1.280000
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,30,25,115.388000,3,2.599924,11.538462,1.200000
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,29,26,74.756000,2,4.173578,7.692308,1.115385
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,28,26,96.099000,3,3.246652,11.538462,1.076923
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,28,26,71.313000,1,4.375079,3.846154,1.076923
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,28,26,69.721000,2,4.474979,7.692308,1.076923
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,29,26,77.649000,6,4.018081,23.076923,1.115385
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,29,26,69.759000,4,4.472541,15.384615,1.115385
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,29,28,67.862000,6,4.951225,21.428571,1.035714
GraffitiExperiment,P05,GRAFFITI,C02,S00,B01,28,28,73.626000,7,4.563605,25.000000,1.000000
