App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,32.782000,11,9.517418,42.307692,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,38.426000,12,8.119502,46.153846,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,36.714000,7,8.498121,26.415094,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,39.287000,6,7.941558,23.076923,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,29.551000,9,10.558018,34.615385,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,30,26,32.443000,12,9.616867,46.153846,1.153846
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,43.121000,8,7.235454,30.769231,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,30.361000,6,10.276341,23.076923,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,31.582000,11,9.879045,41.509434,1.000000
GraffitiExperiment,P04,GRAFFITI,C01,S00,B01,26,26,41.907000,11,7.445057,42.307692,1.000000
