App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,43.343000,11,7.198394,42.307692,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,30,26,45.660000,13,6.833114,50.000000,1.153846
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,37.641000,14,8.288834,53.846154,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,36.618000,11,8.520400,41.509434,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,35.014000,8,8.910721,30.769231,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,34.815000,12,8.961654,46.153846,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,32.899000,9,9.483571,34.615385,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,35.050000,11,8.901569,42.307692,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,30.986000,10,10.069063,38.461538,1.000000
GraffitiExperiment,P02,GRAFFITI,C01,S00,B01,26,26,31.896000,8,9.781791,30.188679,1.000000
